# InverseMatrix00,   InverseMatrix01,   InverseMatrix02,   InverseMatrix03,   InverseMatrix04





# One-dimensional model
# Timestep=  12000
# j, (j+.5)*DNHI,     y1H[j],     y1He[j],     EH[j],     Te[j],     EHII[j],     THII[j],     EHI[j],     THI[j],     EHeI[j],     THeI[j],     EHeII[j],     THeII[j],     dEH[j]
  74 1.86250E+18 0.000000000000000 0.000000 0.195446 19055.506343659257254 0.181136 19055.506343659264530 0.000000 19055.506343659304548 0.000000 19055.506343659286358 0.014310 19055.506343659268168 0.0000000000
  75 1.88750E+18 0.000000000000000 0.000000 0.195627 19073.225429692847683 0.181304 19073.225429692833131 0.000000 19073.225429692858597 0.000000 19073.225429693036858 0.014323 19073.225429692833131 0.0000000000
  76 1.91250E+18 0.000000000000000 0.000000 0.195805 19090.527252616848273 0.181469 19090.527252616837359 0.000000 19090.527252616862825 0.000000 19090.527252616837359 0.014336 19090.527252616840997 0.0000000000
  77 1.93750E+18 0.000000000000000 0.000000 0.195978 19107.429391246794694 0.181630 19107.429391246794694 0.000000 19107.429391246838350 0.000000 19107.429391246936575 0.014349 19107.429391246794694 0.0000000000
  78 1.96250E+18 0.000000000000000 0.000000 0.196148 19123.937882286059903 0.181786 19123.937882286063541 0.000000 19123.937882286096283 0.000000 19123.937882285896194 0.014361 19123.937882286063541 0.0000000000
  79 1.98750E+18 0.000000000000000 0.000000 0.196313 19140.068999704191810 0.181940 19140.068999704199086 0.000000 19140.068999704177259 0.000000 19140.068999704304588 0.014373 19140.068999704199086 0.0000000000
  80 2.01250E+18 0.000000000000000 0.000000 0.196475 19155.830836461369472 0.182090 19155.830836461365834 0.000000 19155.830836461289437 0.000000 19155.830836461591389 0.014385 19155.830836461362196 0.0000000000
  81 2.03750E+18 0.000000000000000 0.000000 0.196633 19171.233769494952867 0.182236 19171.233769494960143 0.000000 19171.233769494963781 0.000000 19171.233769495203887 0.014397 19171.233769494963781 0.0000000000
  82 2.06250E+18 0.000000000000000 0.000000 0.196787 19186.285720933723496 0.182379 19186.285720933723496 0.000000 19186.285720933650737 0.000000 19186.285720933661651 0.014408 19186.285720933723496 0.0000000000
  83 2.08750E+18 0.000000000000000 0.000000 0.196938 19201.000718930361472 0.182519 19201.000718930350558 0.000000 19201.000718930292351 0.000000 19201.000718930641597 0.014419 19201.000718930350558 0.0000000000
  84 2.11250E+18 0.000000000000000 0.000000 0.197086 19215.385954976001813 0.182656 19215.385954975994537 0.000000 19215.385954975947243 0.000000 19215.385954976001813 0.014430 19215.385954975994537 0.0000000000
  85 2.13750E+18 0.000000000000000 0.000000 0.197230 19229.450521949576796 0.182789 19229.450521949573158 0.000000 19229.450521949584072 0.000000 19229.450521949729591 0.014440 19229.450521949576796 0.0000000000
  86 2.16250E+18 0.000000000000000 0.000000 0.197371 19243.203221154246421 0.182920 19243.203221154242783 0.000000 19243.203221154235507 0.000000 19243.203221154235507 0.014451 19243.203221154242783 0.0000000000
  87 2.18750E+18 0.000000000000000 0.000000 0.197509 19256.652572477563808 0.183048 19256.652572477567446 0.000000 19256.652572477596550 0.000000 19256.652572477352805 0.014461 19256.652572477571084 0.0000000000
  88 2.21250E+18 0.000000000000000 0.000000 0.197644 19269.806827151984180 0.183173 19269.806827151969628 0.000000 19269.806827152042388 0.000000 19269.806827151813195 0.014471 19269.806827151976904 0.0000000000
  89 2.23750E+18 0.000000000000000 0.000000 0.197776 19282.673973936332914 0.183295 19282.673973936340190 0.000000 19282.673973936336552 0.000000 19282.673973936267430 0.014480 19282.673973936343828 0.0000000000
