# ﻿InverseMatrix00,   InverseMatrix01,   InverseMatrix02,   InverseMatrix03,   InverseMatrix04





# One-dimensional model
# Timestep=  12000
# j, (j+.5)*DNHI,     y1H[j],     y1He[j],     EH[j],     Te[j],     EHII[j],     THII[j],     EHI[j],     THI[j],     EHeI[j],     THeI[j],     EHeII[j],     THeII[j],     dEH[j]
  26 6.62500E+017 0.000000000000000 0.000000 0.177626 17318.171616241801530 0.164621 17318.171616241801530 0.000000 17318.171616241845186 0.000000 17318.171616241535958 0.013005 17318.171616241801530 0.0000000000
  27 6.87500E+017 0.000000000000000 0.000000 0.178309 17384.726792721052334 0.165254 17384.726792721052334 0.000000 17384.726792721045058 0.000000 17384.726792721168749 0.013055 17384.726792721052334 0.0000000000
  28 7.12500E+017 0.000000000000000 0.000000 0.178970 17449.134736184343637 0.165866 17449.134736184339999 0.000000 17449.134736184278154 0.000000 17449.134736184019857 0.013103 17449.134736184339999 0.0000000000
  29 7.37500E+017 0.000000000000000 0.000000 0.179609 17511.486663869738550 0.166459 17511.486663869742188 0.000000 17511.486663869785843 0.000000 17511.486663869702170 0.013150 17511.486663869742188 0.0000000000
  30 7.62500E+017 0.000000000000000 0.000000 0.180229 17571.868263798925909 0.167033 17571.868263798933185 0.000000 17571.868263798947737 0.000000 17571.868263799053238 0.013196 17571.868263798929547 0.0000000000
  31 7.87500E+017 0.000000000000000 0.000000 0.180829 17630.360193704022095 0.167589 17630.360193704025733 0.000000 17630.360193704003905 0.000000 17630.360193703982077 0.013240 17630.360193704022095 0.0000000000
  32 8.12500E+017 0.000000000000000 0.000000 0.181410 17687.038522458500665 0.168128 17687.038522458504303 0.000000 17687.038522458533407 0.000000 17687.038522458478838 0.013282 17687.038522458500665 0.0000000000
  33 8.37500E+017 0.000000000000000 0.000000 0.181973 17741.975120851442625 0.168650 17741.975120851446263 0.000000 17741.975120851431711 0.000000 17741.975120851184329 0.013323 17741.975120851446263 0.0000000000
  34 8.62500E+017 0.000000000000000 0.000000 0.182520 17795.238006869509263 0.169156 17795.238006869501987 0.000000 17795.238006869520177 0.000000 17795.238006869636592 0.013363 17795.238006869501987 0.0000000000
  35 8.87500E+017 0.000000000000000 0.000000 0.183050 17846.907249969550321 0.169647 17846.907249969546683 0.000000 17846.907249969561235 0.000000 17846.907249969328404 0.013402 17846.907249969543045 0.0000000000
  36 9.12500E+017 0.000000000000000 0.000000 0.183563 17897.012176996980998 0.170124 17897.012176996984635 0.000000 17897.012176996988273 0.000000 17897.012176996828202 0.013440 17897.012176996984635 0.0000000000
